"Station Name","VANCOUVER INTL A"
"Province","BRITISH COLUMBIA"
"Latitude","49.19"
"Longitude","-123.18"
"Elevation","4.30"
"Climate Identifier","1108395"
"WMO Identifier","71892"
"TC Identifier","YVR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2016-12-01 00:00","2016","12","01","00:00","‡","6.5","","3.0","","78","","27","","28","","32.2","","101.90","","","","","","NA"
"2016-12-01 01:00","2016","12","01","01:00","‡","6.3","","3.5","","82","","27","","27","","32.2","","101.95","","","","","","Mainly Clear"
"2016-12-01 02:00","2016","12","01","02:00","‡","6.0","","4.0","","87","","25","","20","","32.2","","102.02","","","","","","NA"
"2016-12-01 03:00","2016","12","01","03:00","‡","5.8","","3.8","","87","","25","","23","","32.2","","102.08","","","","","","NA"
"2016-12-01 04:00","2016","12","01","04:00","‡","6.1","","3.9","","86","","25","","25","","32.2","","102.12","","","","","","Mainly Clear"
"2016-12-01 05:00","2016","12","01","05:00","‡","4.6","","3.3","","91","","30","","11","","32.2","","102.14","","","","","","NA"
"2016-12-01 06:00","2016","12","01","06:00","‡","5.1","","3.4","","89","","36","","1","","32.2","","102.15","","","","","","NA"
"2016-12-01 07:00","2016","12","01","07:00","‡","2.4","","1.4","","93","","10","","9","","32.2","","102.24","","","","","","Mainly Clear"
"2016-12-01 08:00","2016","12","01","08:00","‡","2.3","","1.6","","95","","36","","1","","48.3","","102.31","","","","","","NA"
"2016-12-01 09:00","2016","12","01","09:00","‡","2.8","","2.1","","95","","8","","8","","48.3","","102.33","","","","","","NA"
"2016-12-01 10:00","2016","12","01","10:00","‡","5.3","","3.5","","88","","10","","9","","48.3","","102.39","","","","","","Mostly Cloudy"
